,0
85,2.3109940823665378e-05
86,1.8264939221931403e-05
87,6.267284190200848e-05
88,2.739009246510386e-05
89,8.825457971070308e-05
90,0.0013642358512955851
91,3.9090166839142755e-05
92,2.4279449207312802e-05
93,1.8264939221931403e-05
94,2.3109940823665378e-05
95,1.2139610003535342e-05
96,1.8264939221931403e-05
97,2.4279449207312802e-05
98,0.0001854753523220184
99,0.00010002296933087223
100,4.6704571668635016e-05
101,0.000375108858703847
102,0.00021060511067059082
103,0.00011391189233357472
104,2.8578365036241302e-05
105,7.284109824593084e-05
106,2.967579607283191e-05
107,5.967588661386196e-05
108,8.935618935666163e-05
109,2.6266357295884335e-05
110,8.524332587060114e-05
111,2.6905605805055413e-05
112,1.8038233315857742e-05
113,3.641951762328109e-05
114,2.686644787941682e-05
115,0.0025704657889814735
116,0.0002438100147873025
117,9.595227578918852e-05
118,2.8701590751752145e-05
119,4.629444788812504e-05
120,0.0003129547472530773
121,2.404125116832474e-05
122,2.8701590751752145e-05
123,2.3109940823665378e-05
124,0.0004021482982597812
125,1.2139610003535342e-05
126,3.607699699699498e-05
127,8.794466125617537e-05
128,3.607699699699498e-05
129,2.404125116832474e-05
130,2.967579607283191e-05
131,4.713255456836513e-05
132,1.2139610003535342e-05
133,0.001194470682782954
134,0.00010235810931325604
135,0.0001597342256006234
136,2.6905605805055413e-05
137,2.967579607283191e-05
138,1.8038233315857742e-05
139,0.0003335034952986067
140,0.0002262982097372541
141,0.0001241185496546008
142,1.8360311110766523e-05
143,8.467499720490639e-05
144,2.686644787941682e-05
145,0.00027172464437693364
146,0.0005016504156108513
147,1.2139610003535342e-05
148,2.8701590751752145e-05
149,4.59463975475333e-05
150,2.4279449207312802e-05
151,1.2139610003535342e-05
152,0.00021353170926468167
153,0.00012281606637402827
154,2.8256287241346385e-05
155,4.6893291114391246e-05
156,7.64508510811564e-05
157,6.474379309042317e-05
158,4.323743862046419e-05
159,4.734165184247708e-05
160,1.2139610003535342e-05
161,4.114810147045791e-05
162,1.8038233315857742e-05
163,3.1938575867114944e-05
164,9.1959093258427e-05
165,0.00012969345214736957
166,3.0177770650272363e-05
167,0.00023003374681920181
168,5.244391116637641e-05
169,1.2139610003535342e-05
170,0.00012596154382174155
171,8.934596528225714e-05
172,0.00018660145021718444
173,1.2139610003535342e-05
174,2.8701590751752145e-05
175,2.686644787941682e-05
176,0.00043184660761164866
177,0.0002715760558987451
178,5.315977347913913e-05
179,0.0010781175332652915
180,0.00033122857010893243
181,0.0001935131281052853
182,0.00021548185118218453
183,0.00042305528215090744
184,1.2139610003535342e-05
185,3.0045015335506127e-05
186,5.606225156450757e-05
187,2.6905605805055413e-05
188,7.646472392632009e-05
189,2.4279449207312802e-05
190,9.702495678975119e-05
191,7.346773234901596e-05
192,0.0003647845038208631
193,2.967579607283191e-05
194,4.647719359068726e-05
195,0.00038200110060926195
196,9.345073750318249e-05
197,2.739009246510386e-05
198,0.001041153581264452
199,2.3091376069133353e-05
200,3.607699699699498e-05
201,3.0045015335506127e-05
202,2.8701590751752145e-05
203,2.3091376069133353e-05
204,0.0001210390535479911
205,0.0001900880033688616
206,0.0001264773940569482
207,0.00011368455279781446
